わんりょく	腕力
わんぱく	腕白
わんない	湾内
わんしょう	腕章
わんきょく	湾曲
わんがん	湾岸
わん	湾
わん	椀
われわれ	我々
われら	我ら
われめ	割れ目
われ	割れ
われ	我
わるもの	悪者
わるびれ	悪びれ
わるぢえ	悪知恵
わるだくみ	悪巧み
わるくち	悪口
わるぎ	悪気
わるあがき	悪あがき
わる	悪
わりやす	割安
わりもどし	割戻し
わりもど	割り戻
わりまし	割増し
わりふ	割り振
わりふ	割りふ
わりびきさい	割引債
わりびき	割引
わりび	割り引
わりばし	割箸
わりつけ	割り付け
わりだか	割高
わりざん	割算
わりこ	割り込
わりき	割り切
わりかん	割り勘
わりいん	割印
わりあて	割当
わりあて	割り当て
わりあい	割合
わり	割
わらべ	童
わらび	蕨
わら	藁
わら	笑
わら	稿
わよう	和洋
わやく	和訳
わめい	和名
わぼく	和睦
わほう	話法
わへい	和平
わぶん	和文
わふく	和服
わふう	和風
わびじょう	詫状
わび	詫び
わに	鰐
わな	罠
わとじ	和綴じ
わっか	輪っか
わたりどり	渡り鳥
わたり	渡り
わだち	轍
わたしぶね	渡し船
わたしども	私供
わたしども	私ども
わたしたち	私達
わたしたち	私たち
わたし	渡し
わたし	私
わたくしりつ	私立
わたくしたち	私達
わたくしごと	私事
わたくし	私
わだい	話題
わた	亙
わた	綿
わた	棉
わた	渡
わた	航
わせん	和戦
わせい	和声
わせ	早生
わせ	早稲
わすれさ	忘れ去
わすれ	忘れ
わずらわし	煩わし
わずらわ	煩わ
わずら	煩
わずら	患
わずか	僅か
わしょく	和食
わしゃ	話者
わしつ	和室
わしき	和式
わし	鷲
わし	和紙
わざわい	災い
わざわい	禍
わさび	山葵
わさい	和裁
わざ	業
わざ	技
わこんようさい	和魂洋才
わこうど	若人
わごう	和合
わご	和語
わけめ	分け目
わけまえ	分け前
わけい	分け入
わけあたえ	分け与え
わけ	訳
わけ	分け
わくらん	惑乱
わくない	枠内
わくせい	惑星
わくぐみ	枠組
わくがい	枠外
わく	枠
わぎり	輪切り
わぎゅう	和牛
わきみち	脇道
わきみず	湧き水
わきみ	わき見
わきまえ	弁え
わきばら	脇腹
わきた	沸き立
わきげ	脇毛
わきあいあい	和気靄々
わきあいあい	和気藹々
わぎ	和議
わき	脇
わかん	和姦
わかわかし	若々し
わかれ	別れ
わかれ	分かれ
わがや	我家
わがや	我が家
わかもの	若者
わかめ	若布
わがまま	我儘
わがまま	我侭
わがまま	我がまま
わかまつ	若松
わがはい	我輩
わかば	若葉
わかて	若手
わかちがき	わかち書き
わがし	和菓子
わがくに	我が国
わがくに	わが国
わかくさ	若草
わかがえ	若返
わかい	和解
わが	我が
わが	我
わか	和歌
わか	分か
わか	分
わか	沸か
わか	判
わか	若
わか	解
わえい	和英
わいろ	賄賂
わいだん	猥談
わいせつ	猥褻
わいせい	矮星
わいしょう	矮小
わいきょく	歪曲
わ	和
わ	輪
わ	涌
わ	湧
わ	沸
わ	環
わ	割
ろんり	論理
ろんぽう	論法
ろんぶんし	論文誌
ろんぶん	論文
ろんぴょう	論評
ろんばく	論駁
ろんなん	論難
ろんてん	論点
ろんてき	論敵
ろんちょう	論調
ろんだい	論題
ろんそう	論争
ろんせつ	論説
ろんじん	論陣
ろんしょう	論証
ろんじゅつ	論述
ろんじゃ	論者
ろんしゃ	論者
ろんし	論旨
ろんこく	論告
ろんこう	論攷
ろんこう	論考
ろんご	論語
ろんきょ	論拠
ろんきゅう	論究
ろんきゅう	論及
ろんぎ	論議
ろんがい	論外
ろん	論
ろめん	路面
ろばん	路盤
ろてん	露点
ろてん	露店
ろてん	露天
ろてい	露呈
ろっぽう	六法
ろっこつ	肋骨
ろちょう	顱頂
ろせん	路線
ろしん	炉心
ろじょう	路上
ろしゅつ	露出
ろじ	露地
ろじ	路地
ろこつ	露骨
ろこう	露光
ろけん	露見
ろくよう	六曜
ろくめんたい	六面体
ろくまく	肋膜
ろくぼく	肋木
ろくぶんぎ	六分儀
ろくしょう	緑青
ろくが	録画
ろくおん	録音
ろく	録
ろく	六
ろぎん	路銀
ろかた	路肩
ろーまじ	ローマ字
ろうれん	老練
ろうれつ	陋劣
ろうれい	老齢
ろうりょく	労力
ろうむ	労務
ろうぼく	老木
ろうほう	朗報
ろうぼ	老母
ろうふ	老父
ろうふ	老夫
ろうひ	浪費
ろうばしん	老婆心
ろうばい	狼狽
ろうはい	老廃
ろうば	老婆
ろうにん	浪人
ろうにゃく	老若
ろうどく	朗読
ろうどう	労働
ろうとう	郎等
ろうと	漏斗
ろうでん	漏電
ろうちん	労賃
ろうたい	老体
ろうそく	蝋燭
ろうそ	労組
ろうぜき	狼藉
ろうせき	蝋石
ろうすい	老衰
ろうすい	漏水
ろうじん	老人
ろうじょう	籠城
ろうじょう	老嬢
ろうしょう	労相
ろうしゅつ	漏出
ろうじゅく	老熟
ろうじゅう	老中
ろうじゃく	老弱
ろうし	浪士
ろうし	労使
ろうさく	労作
ろうさい	老妻
ろうさい	労災
ろうごく	牢獄
ろうご	老後
ろうけつ	蝋纈
ろうく	労苦
ろうきょく	浪曲
ろうきょう	老境
ろうきゅう	老朽
ろうがん	老眼
ろうかい	老獪
ろうか	老化
ろうか	廊下
ろうえい	漏洩
ろうあ	聾唖
ろう	聾
ろう	老
ろう	朗
ろう	弄
ろう	労
ろ	炉
ろ	櫓
れんりつ	連立
れんらく	連絡
れんようけい	連用形
れんよう	連用
れんや	連夜
れんめん	連綿
れんめい	連盟
れんめい	連名
れんま	錬磨
れんぽう	連邦
れんぽう	連峰
れんぶんせつ	連文節
れんびん	憐憫
れんぱつ	連発
れんぱい	連敗
れんぱ	連破
れんぱ	連覇
れんねん	連年
れんどう	連動
れんとう	連騰
れんちゅう	連中
れんだん	連弾
れんたつ	練達
れんだく	連濁
れんたいし	連体詞
れんたい	連隊
れんたい	連帯
れんたい	連体
れんだ	連打
れんぞくたい	連続体
れんぞく	連続
れんそう	連想
れんせん	連戦
れんせつ	連接
れんせい	錬成
れんせい	連成
れんしょう	連勝
れんしょ	連署
れんしゅう	練習
れんじゅ	連珠
れんしゃ	連射
